id,estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa,descricao
0,SP,3313901,472052,2,16,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
1,AM,4221902,605359,3,7,3,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2,DF,3321000,711994,0,13,2,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
3,AC,4221903,25330,0,5,1,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
4,GO,3321000,271513,0,3,2,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
5,AP,2821601,853729,0,20,2,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6,GO,3329599,880033,3,10,4,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
7,AL,3511500,934717,0,12,4,CABL951,
8,RS,4322301,916834,3,19,3,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
9,RS,3321000,137825,0,14,4,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
10,PB,3511501,527834,4,15,1,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
11,PR,3511501,845505,1,21,3,JJF753,GERAÇÃO DE ENERGIA ELÉTRICA
12,PR,3321000,660827,4,5,4,CABL951,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
13,PI,4321500,813432,0,2,4,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
14,MG,3321000,351603,4,6,4,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
15,PI,4322301,864608,2,19,4,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
16,AL,7112000,694844,1,21,1,MEL789,SERVIÇOS DE ENGENHARIA
17,ES,2821602,383255,0,21,4,CABL951,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
18,SE,4322301,293005,0,13,3,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
19,MS,4754703,746138,0,14,3,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
20,PB,3329599,37903,0,11,4,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
21,PE,4673700,749774,0,16,3,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
22,SC,4321500,316057,1,1,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
23,CE,3511501,368331,4,9,4,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
24,PB,4322302,789562,0,18,4,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
25,SP,3511502,156364,3,14,2,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
26,RR,4322302,818333,0,9,4,XPTO123,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
27,BA,4322302,718255,0,1,3,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
28,PR,4221902,844119,0,13,3,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
29,AC,3321000,801306,3,6,4,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
30,AL,4754703,765098,0,13,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
31,MT,4321500,916294,3,9,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
32,AL,3511500,170533,0,11,1,FOO456,
33,AC,4221903,956734,0,16,3,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
