id;estado_empresa;cnae_empresa;capital_empresa;processos_judiciais_empresa;idade_empresa;socios_empresa;fornecedor_empresa
0;SP;3313901;472052;2;16;4;CABL951
1;AM;4221902;605359;3;7;3;CABL951
2;DF;3321000;711994;0;13;2;MEL789
3;AC;4221903;25330;0;5;1;FOO456
4;GO;3321000;271513;0;3;2;MEL789
5;AP;2821601;853729;0;20;2;FOO456
6;GO;3329599;880033;3;10;4;FOO456
7;AL;3511500;934717;0;12;4;CABL951
8;RS;4322301;916834;3;19;3;XPTO123
9;RS;3321000;137825;0;14;4;MEL789
10;PB;3511501;527834;4;15;1;MEL789
11;PR;3511501;845505;1;21;3;JJF753
12;PR;3321000;660827;4;5;4;CABL951
13;PI;4321500;813432;0;2;4;CABL951
14;MG;3321000;351603;4;6;4;XPTO123
15;PI;4322301;864608;2;19;4;FOO456
16;AL;7112000;694844;1;21;1;MEL789
17;ES;2821602;383255;0;21;4;CABL951
18;SE;4322301;293005;0;13;3;JJF753
19;MS;4754703;746138;0;14;3;JJF753
20;PB;3329599;37903;0;11;4;XPTO123
21;PE;4673700;749774;0;16;3;JJF753
22;SC;4321500;316057;1;1;1;JJF753
23;CE;3511501;368331;4;9;4;XPTO123
24;PB;4322302;789562;0;18;4;CABL951
25;SP;3511502;156364;3;14;2;JJF753
26;RR;4322302;818333;0;9;4;XPTO123
27;BA;4322302;718255;0;1;3;JJF753
28;PR;4221902;844119;0;13;3;JJF753
29;AC;3321000;801306;3;6;4;XPTO123
30;AL;4754703;765098;0;13;2;CABL951
31;MT;4321500;916294;3;9;1;FOO456
32;AL;3511500;170533;0;11;1;FOO456
33;AC;4221903;956734;0;16;3;FOO456
34;MS;4669901;813566;0;9;4;FOO456
35;MS;4321500;241638;0;3;4;MEL789
36;GO;3329599;809987;4;18;4;JJF753
37;RJ;4673700;484076;2;14;3;FOO456
38;BA;2821601;794661;0;19;3;FOO456
39;PE;3511502;791733;0;3;1;MEL789
40;PI;3321000;529619;0;1;1;XPTO123
41;PE;3511501;611674;3;4;4;XPTO123
42;SP;4673700;359238;0;3;2;XPTO123
43;PE;2731700;527100;3;2;2;FOO456
44;BA;3313901;44715;0;17;2;CABL951
45;RJ;3321000;566815;1;11;4;FOO456
46;PA;3321000;62507;1;3;1;XPTO123
47;SP;4754703;785822;0;1;3;XPTO123
48;SE;3329599;744899;3;14;4;JJF753
49;CE;3511502;291731;0;12;2;XPTO123
50;SC;3321000;702894;1;16;4;FOO456
51;MT;4221902;327321;0;14;3;JJF753
52;DF;3511501;146763;0;5;3;JJF753
53;PA;3313901;114763;0;6;3;CABL951
54;AL;4221902;295705;0;15;3;MEL789
55;RS;3511500;859977;0;12;2;JJF753
56;GO;7112000;488226;2;10;2;CABL951
57;BA;3511500;777271;4;1;2;MEL789
58;RR;4321500;228880;0;1;1;FOO456
59;ES;2821602;61718;0;15;4;XPTO123
60;PR;3511502;451936;3;5;4;JJF753
61;AC;4754703;91444;2;15;4;FOO456
62;RN;4322301;768333;2;15;2;JJF753
63;SE;4321500;974892;0;1;3;FOO456
64;MS;4669901;741982;0;4;3;CABL951
65;SC;3511501;61782;0;8;2;MEL789
66;PA;7112000;95265;4;13;2;JJF753
67;SE;3511501;884772;0;18;4;XPTO123
68;ES;4673700;232435;0;16;1;MEL789
69;MS;2821601;829205;0;19;1;CABL951
